iter	Passed	Remaining
1307	11109	5877
1308	11118	5869
1309	11126	5860
1310	11134	5851
1311	11143	5843
1312	11151	5834
1313	11159	5826
1314	11168	5817
1315	11177	5809
1316	11185	5800
1317	11192	5791
1318	11201	5783
1319	11208	5774
1320	11217	5766
1321	11224	5756
1322	11233	5748
1323	11242	5740
1324	11250	5731
1325	11258	5722
1326	11266	5713
1327	11275	5705
1328	11284	5697
1329	11293	5689
1330	11300	5680
1331	11309	5671
1332	11318	5663
1333	11327	5655
1334	11334	5646
1335	11343	5637
1336	11351	5629
1337	11360	5620
1338	11368	5612
1339	11376	5603
1340	11385	5595
1341	11394	5586
1342	11400	5577
1343	11408	5568
1344	11415	5559
1345	11423	5550
1346	11431	5541
1347	11439	5532
1348	11447	5524
1349	11455	5515
1350	11463	5506
1351	11471	5498
1352	11479	5489
1353	11488	5481
1354	11496	5472
1355	11504	5463
1356	11513	5455
1357	11521	5446
1358	11530	5438
1359	11538	5429
1360	11547	5421
1361	11556	5413
1362	11564	5404
1363	11573	5396
1364	11582	5388
1365	11589	5379
1366	11598	5370
1367	11605	5361
1368	11614	5353
1369	11622	5344
1370	11630	5336
1371	11638	5327
1372	11645	5318
1373	11654	5309
1374	11662	5301
1375	11671	5292
1376	11679	5284
1377	11687	5275
1378	11695	5266
1379	11703	5258
1380	11711	5249
1381	11720	5241
1382	11728	5232
1383	11738	5224
1384	11747	5216
1385	11755	5207
1386	11763	5198
1387	11769	5189
1388	11778	5181
1389	11786	5172
1390	11793	5163
1391	11802	5155
1392	11810	5146
1393	11817	5137
1394	11826	5129
1395	11833	5120
1396	11840	5110
1397	11848	5102
1398	11857	5093
1399	11866	5085
1400	11874	5076
1401	11880	5067
1402	11889	5059
1403	11898	5050
1404	11906	5042
1405	11914	5033
1406	11921	5024
1407	11930	5016
1408	11940	5008
1409	11952	5001
1410	11964	4994
1411	11974	4986
1412	11983	4978
1413	11991	4969
1414	11999	4960
1415	12007	4952
1416	12014	4943
1417	12022	4934
1418	12031	4926
1419	12040	4917
1420	12048	4909
1421	12057	4901
1422	12066	4892
1423	12073	4883
1424	12083	4875
1425	12091	4867
1426	12100	4858
1427	12109	4850
1428	12117	4842
1429	12125	4833
1430	12134	4825
1431	12142	4816
1432	12150	4807
1433	12158	4798
1434	12167	4790
1435	12175	4782
1436	12184	4773
1437	12192	4765
1438	12201	4756
1439	12209	4748
1440	12219	4740
1441	12231	4733
1442	12242	4725
1443	12251	4717
1444	12260	4708
1445	12267	4700
1446	12276	4691
1447	12284	4683
1448	12291	4673
1449	12299	4665
1450	12307	4656
1451	12316	4648
1452	12326	4640
1453	12333	4631
1454	12341	4622
1455	12350	4614
1456	12358	4605
1457	12366	4597
1458	12375	4588
1459	12384	4580
1460	12393	4572
1461	12401	4563
1462	12410	4555
1463	12418	4546
1464	12427	4538
1465	12436	4529
1466	12444	4521
1467	12451	4512
1468	12459	4503
1469	12467	4495
1470	12476	4486
1471	12485	4478
1472	12493	4469
1473	12502	4461
1474	12510	4452
1475	12519	4444
1476	12527	4436
1477	12536	4427
1478	12543	4418
1479	12552	4410
1480	12560	4401
1481	12568	4393
1482	12578	4385
1483	12586	4376
1484	12595	4368
1485	12602	4359
1486	12611	4350
1487	12618	4341
1488	12626	4333
1489	12636	4325
1490	12644	4316
1491	12653	4308
1492	12662	4299
1493	12671	4291
1494	12679	4282
1495	12688	4274
1496	12696	4265
1497	12703	4257
1498	12712	4248
1499	12721	4240
1500	12730	4232
1501	12739	4223
1502	12748	4215
1503	12756	4207
1504	12764	4198
1505	12772	4189
1506	12781	4181
1507	12789	4172
1508	12798	4164
1509	12804	4155
1510	12812	4146
1511	12820	4137
1512	12828	4129
1513	12836	4120
1514	12845	4112
1515	12854	4103
1516	12862	4095
1517	12871	4086
1518	12879	4078
1519	12888	4070
1520	12898	4061
1521	12907	4053
1522	12916	4045
1523	12924	4036
1524	12932	4028
1525	12941	4019
1526	12949	4011
1527	12958	4002
1528	12964	3993
1529	12972	3985
1530	12983	3977
1531	12990	3968
1532	12999	3960
1533	13010	3952
1534	13019	3944
1535	13031	3936
1536	13044	3929
1537	13053	3921
1538	13062	3912
1539	13071	3904
1540	13080	3896
1541	13089	3887
1542	13097	3879
1543	13105	3870
1544	13112	3861
1545	13121	3853
1546	13128	3844
1547	13136	3835
1548	13141	3826
1549	13150	3817
1550	13157	3809
1551	13163	3799
1552	13172	3791
1553	13181	3783
1554	13189	3774
1555	13197	3765
1556	13205	3757
1557	13214	3748
1558	13222	3740
1559	13230	3731
1560	13238	3723
1561	13246	3714
1562	13255	3706
1563	13263	3697
1564	13271	3688
1565	13279	3680
1566	13287	3671
1567	13296	3663
1568	13303	3654
1569	13310	3645
1570	13319	3637
1571	13327	3628
1572	13335	3619
1573	13343	3611
1574	13351	3602
1575	13360	3594
1576	13368	3585
1577	13376	3577
1578	13384	3568
1579	13392	3560
1580	13400	3551
1581	13407	3542
1582	13416	3534
1583	13425	3525
1584	13433	3517
1585	13442	3508
1586	13450	3500
1587	13458	3491
1588	13467	3483
1589	13473	3474
1590	13482	3465
1591	13490	3457
1592	13499	3448
1593	13506	3440
1594	13515	3431
1595	13524	3423
1596	13532	3414
1597	13541	3406
1598	13549	3397
1599	13559	3389
1600	13567	3381
1601	13577	3373
1602	13587	3365
1603	13597	3356
1604	13606	3348
1605	13614	3340
1606	13622	3331
1607	13631	3323
1608	13640	3314
1609	13647	3306
1610	13654	3297
1611	13662	3288
1612	13670	3279
1613	13678	3271
1614	13686	3262
1615	13694	3254
1616	13701	3245
1617	13709	3236
1618	13717	3228
1619	13725	3219
1620	13732	3210
1621	13739	3201
1622	13747	3193
1623	13755	3184
1624	13763	3176
1625	13771	3167
1626	13780	3159
1627	13788	3150
1628	13795	3141
1629	13803	3133
1630	13812	3124
1631	13820	3116
1632	13828	3107
1633	13837	3099
1634	13845	3090
1635	13853	3082
1636	13861	3073
1637	13868	3064
1638	13877	3056
1639	13885	3048
1640	13893	3039
1641	13901	3030
1642	13909	3022
1643	13918	3013
1644	13927	3005
1645	13938	2997
1646	13947	2989
1647	13955	2980
1648	13964	2972
1649	13973	2964
1650	13981	2955
1651	13989	2946
1652	13996	2938
1653	14004	2929
1654	14014	2921
1655	14021	2912
1656	14030	2904
1657	14039	2895
1658	14047	2887
1659	14054	2878
1660	14064	2870
1661	14072	2861
1662	14082	2853
1663	14094	2845
1664	14103	2837
1665	14111	2829
1666	14120	2820
1667	14129	2812
1668	14138	2803
1669	14145	2795
1670	14153	2786
